Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,difference
2010-06-18,1116.16,1121.01,1113.93,1117.51,4555360000,0,0,0.0012095040137613863
2010-06-21,1122.79,1131.23,1108.24,1113.2,4514360000,0,0,-0.008541223202914096
2010-06-22,1113.9,1118.5,1094.18,1095.31,4514380000,0,0,-0.01668911033306414
2010-06-23,1095.57,1099.64,1085.31,1092.04,4526150000,0,0,-0.0032220670518542612
2010-06-24,1090.93,1090.93,1071.6,1073.69,4814830000,0,0,-0.015803030441916537
2010-06-25,1075.1,1083.56,1067.89,1076.76,5128840000,0,0,0.0015440424146591777
2010-06-28,1077.5,1082.6,1071.45,1074.57,3896410000,0,0,-0.0027192575406033074
2010-06-29,1071.1,1071.1,1035.18,1041.24,6136700000,0,0,-0.027877882550648776
2010-06-30,1040.56,1048.08,1028.33,1030.71,5067080000,0,0,-0.009466056738679085
2010-07-01,1031.1,1033.58,1010.91,1027.37,6435770000,0,0,-0.0036174958781883607
2010-07-02,1027.65,1032.95,1015.93,1022.58,3968500000,0,0,-0.004933586337760959
2010-07-06,1028.09,1042.5,1018.35,1028.06,4691240000,0,0,-2.9180324679719398e-05
2010-07-07,1028.54,1060.89,1028.54,1060.27,4931220000,0,0,0.030849553736364187
2010-07-08,1062.92,1071.25,1058.24,1070.25,4548460000,0,0,0.0068960975426183785
2010-07-09,1070.5,1078.16,1068.1,1077.96,3506570000,0,0,0.006968706212050478
2010-07-12,1077.23,1080.78,1070.45,1078.75,3426990000,0,0,0.001411026428896319
2010-07-13,1080.65,1099.46,1080.65,1095.34,4640460000,0,0,0.013593670476102184
2010-07-14,1095.61,1099.08,1087.68,1095.17,4521050000,0,0,-0.0004016027601060845
2010-07-15,1094.46,1098.66,1080.53,1096.48,4552470000,0,0,0.0018456590464703889
2010-07-16,1093.85,1093.85,1063.32,1064.88,5297350000,0,0,-0.02648443570873502
2010-07-19,1066.85,1074.7,1061.11,1071.25,4089500000,0,0,0.004124291137460835
2010-07-20,1064.53,1083.94,1056.88,1083.48,4713280000,0,0,0.017801283195400832
2010-07-21,1086.67,1088.96,1065.25,1069.59,4747180000,0,0,-0.0157177431971069
